Rank,Previous,School,Conference,WAB,Record (wins),Record (loss),Road (wins),Road (loss),Neutral (wins),Neutral (loss),Quad 1 (wins),Quad 1 (loss),Quad 2 (wins),Quad 2 (loss),Quad 3 (wins),Quad 3 (loss),Quad 4 (wins),Quad 4 (loss)
342,342,Western Caro.,SoCon,314,5,22,1,14,0,1,0,3,0,5,1,9,4,5
343,343,Central Ark.,ASUN,332,7,24,1,17,1,0,0,4,0,4,0,6,7,10
344,344,Sacramento St.,Big Sky,353,4,25,2,13,0,1,0,1,0,3,0,8,4,13
345,345,West Ga.,ASUN,352,5,25,2,15,0,2,0,1,0,4,0,9,5,11
346,346,New Orleans,Southland,348,4,27,3,15,1,1,0,6,0,2,2,6,2,13
347,347,USC Upstate,Big South,359,3,26,2,14,0,2,0,2,0,3,0,10,3,11
348,348,Cal St. Fullerton,Big West,338,4,26,2,15,0,0,0,3,0,7,1,8,3,8
349,349,ULM,Sun Belt,358,5,25,2,12,0,2,0,0,1,3,2,8,2,14
350,350,Le Moyne,NEC,341,7,23,2,16,1,0,0,1,0,3,1,4,6,15
351,351,Bellarmine,ASUN,357,3,26,0,16,0,0,0,2,0,3,0,7,3,14
352,352,NJIT,America East,361,5,25,1,16,1,0,0,1,0,2,0,8,5,14
353,353,Stetson,ASUN,343,6,24,3,11,0,4,0,2,0,2,1,7,5,13
354,354,NIU,MAC,355,3,25,1,15,0,0,0,0,0,5,1,7,2,13
355,355,New Hampshire,America East,351,6,24,2,15,0,2,0,2,0,0,0,8,6,14
356,356,Prairie View,SWAC,360,4,27,2,19,0,1,0,4,0,3,0,4,4,16
357,357,Canisius,MAAC,364,3,28,2,15,0,1,0,2,0,2,0,4,3,20
358,358,Chicago St.,NEC,362,4,28,1,19,0,2,0,4,0,5,0,4,4,15
359,359,Coppin St.,MEAC,339,5,24,1,17,0,1,0,3,0,5,0,4,5,12
360,360,Alabama A&M,SWAC,336,7,22,2,12,0,1,0,1,0,3,0,3,7,15
361,361,UMES,MEAC,337,2,25,1,17,0,1,0,5,0,0,0,7,2,13
362,362,The Citadel,SoCon,356,1,25,0,12,0,1,0,1,0,4,0,10,1,10
363,363,Ark.-Pine Bluff,SWAC,346,4,25,2,17,0,0,0,5,0,0,0,1,4,19
364,364,Mississippi Val.,SWAC,354,1,28,1,19,0,0,0,8,0,1,0,1,1,18
