Rank,Previous,School,Conference,WAB,Record (wins),Record (loss),Road (wins),Road (loss),Neutral (wins),Neutral (loss),Quad 1 (wins),Quad 1 (loss),Quad 2 (wins),Quad 2 (loss),Quad 3 (wins),Quad 3 (loss),Quad 4 (wins),Quad 4 (loss)
184,184,Elon,CAA,219,15,15,6,9,1,2,0,1,2,0,4,7,9,7
185,185,Drexel,CAA,231,17,15,7,7,3,2,0,0,0,1,4,11,13,3
186,186,Montana St.,Big Sky,245,14,18,3,14,1,1,0,3,0,3,2,8,12,4
187,187,Eastern Ky.,ASUN,170,16,14,7,9,1,2,0,3,1,2,4,4,11,5
188,188,Southeast Mo. St.,OVC,167,18,12,8,7,1,2,0,1,0,2,2,3,16,6
189,189,South Fla.,The American,244,12,19,2,10,2,3,0,3,1,5,1,9,10,2
190,190,Youngstown St.,Horizon,183,19,13,9,6,2,2,0,1,0,2,7,5,12,5
191,191,Quinnipiac,MAAC,181,19,13,7,10,1,1,0,2,0,1,1,2,18,8
192,192,UNC Asheville,Big South,127,17,11,6,9,2,1,0,2,0,2,3,5,14,2
193,193,Oakland,Horizon,216,15,18,6,11,1,3,0,5,1,2,5,8,9,3
194,194,Idaho St.,Big Sky,214,12,15,5,10,0,1,0,3,0,1,1,7,11,4
195,195,Southern Ill.,MVC,254,12,19,5,7,1,4,0,1,0,7,6,9,6,2
196,196,South Carolina St.,MEAC,179,17,13,7,10,3,1,0,2,0,2,0,6,17,3
197,197,Wyoming,Mountain West,211,11,20,3,10,1,3,0,7,1,6,2,5,8,2
198,198,Texas St.,Sun Belt,233,14,16,4,10,2,2,0,0,1,5,4,6,9,5
199,199,Queens (NC),ASUN,171,17,14,9,9,1,0,0,3,1,2,2,5,14,4
200,200,Portland St.,Big Sky,190,16,13,5,10,1,2,0,0,0,3,3,5,13,5
201,201,UTSA,The American,252,10,19,4,11,1,1,1,2,0,7,3,4,6,6
202,202,Boston College,ACC,199,12,19,0,10,3,1,1,7,0,8,2,3,9,1
203,203,Maine,America East,204,18,14,8,11,2,0,0,1,0,0,4,6,14,7
204,204,Rice,The American,261,13,18,4,8,2,3,0,2,1,4,1,7,11,5
205,205,Indiana St.,MVC,242,12,18,4,9,2,3,0,2,0,6,3,7,9,3
206,206,Valparaiso,MVC,255,13,19,3,10,2,2,0,2,1,7,4,6,8,4
207,207,Northeastern,CAA,220,17,15,7,8,2,2,0,1,0,1,5,7,12,6
208,208,Southeastern La.,Southland,195,16,14,9,8,1,2,0,2,0,2,2,3,14,7
209,209,Dartmouth,Ivy League,207,12,14,5,9,0,1,0,1,0,3,4,2,8,8
210,210,Longwood,Big South,192,15,14,5,7,1,3,0,1,0,3,5,4,10,6
211,211,Seton Hall,Big East,253,7,25,0,11,2,3,1,9,1,9,2,4,3,3
212,212,Hampton,CAA,228,14,16,4,9,3,3,0,1,0,4,3,6,11,5
213,213,Bucknell,Patriot,202,18,15,6,10,0,1,0,3,0,1,1,3,17,8
214,214,La Salle,Atlantic 10,229,13,19,2,10,2,4,0,5,1,5,6,6,6,3
215,215,Brown,Ivy League,165,13,13,6,7,0,0,0,3,1,1,3,3,9,6
216,216,SIUE,OVC,153,19,11,7,8,3,0,0,2,0,0,2,2,17,7
217,218,Hofstra,CAA,270,13,18,5,9,4,2,0,1,1,1,6,7,6,9
218,217,William & Mary,CAA,215,15,15,4,11,1,2,0,1,0,2,4,8,11,4
219,219,Central Mich.,MAC,223,10,17,5,10,0,1,1,3,1,3,0,5,8,6
220,220,Wright St.,Horizon,271,13,18,3,12,1,2,0,1,0,2,4,10,9,5
221,221,Massachusetts,Atlantic 10,276,11,20,4,7,0,5,0,3,1,5,5,7,5,5
222,222,Campbell,CAA,249,13,17,7,10,0,1,0,2,0,2,3,6,10,7
223,223,Hawaii,Big West,206,13,16,2,9,0,0,0,2,0,6,1,6,12,2
224,224,Southern U.,SWAC,141,17,12,9,10,0,1,0,5,1,0,0,2,16,5
225,225,Miami (FL),ACC,263,7,24,0,10,0,4,0,8,0,9,3,4,4,3
226,226,American,Patriot,163,20,12,5,10,2,0,0,1,0,3,1,2,19,6
227,227,Pepperdine,WCC,239,12,22,2,11,4,2,0,9,2,4,1,3,9,6
228,228,Abilene Christian,WAC,217,13,16,5,10,1,1,0,2,0,2,5,7,8,5
229,229,Northern Ky.,Horizon,221,15,16,5,10,0,0,0,1,0,4,4,7,11,4
230,230,Northwestern St.,Southland,193,14,16,6,10,1,1,0,4,0,4,4,3,10,5
231,231,UT Arlington,WAC,267,11,18,3,11,1,3,0,2,0,4,3,7,8,5
232,232,Vermont,America East,159,19,12,7,8,1,1,0,2,1,0,3,3,15,7
233,233,South Dakota,Summit League,189,16,14,4,11,1,1,0,3,0,2,3,5,13,4
234,234,Little Rock,OVC,198,17,14,9,7,1,2,0,2,0,1,2,4,15,7
235,235,Delaware,CAA,301,14,20,3,11,5,2,0,1,1,1,2,11,11,7
236,236,Mount St. Mary's,MAAC,160,21,12,9,8,3,0,0,2,0,1,4,1,17,8
237,237,UC Davis,Big West,218,13,17,7,10,0,1,0,2,1,6,4,5,8,4
238,238,Toledo,MAC,178,17,15,6,9,3,2,0,3,0,4,5,4,12,4
239,239,Fordham,Atlantic 10,282,11,21,2,10,2,3,0,3,0,5,6,9,5,4
240,240,Presbyterian,Big South,281,11,18,4,12,2,1,0,0,0,3,5,5,6,10
241,241,Kansas City,Summit League,302,9,20,2,12,1,3,0,2,1,2,1,10,7,6
242,242,UMass Lowell,America East,224,14,15,3,11,0,0,0,1,0,2,1,6,13,6
243,243,Manhattan,MAAC,197,16,13,8,7,0,1,0,1,0,1,2,1,14,10
244,244,CSU Bakersfield,Big West,272,12,19,4,11,1,2,0,2,0,4,3,9,9,4
245,245,Missouri St.,MVC,328,7,23,1,12,1,3,0,1,1,7,2,10,4,5
246,246,Marist,MAAC,155,20,10,9,5,0,1,0,0,0,0,1,1,19,9
247,247,Colgate,Patriot,300,13,19,4,13,0,2,0,1,1,2,0,8,12,8
248,248,Northern Ariz.,Big Sky,235,14,15,7,8,1,2,0,0,0,2,1,7,13,6
249,249,UIW,Southland,237,13,16,4,10,2,1,0,2,0,1,0,6,13,7
250,250,Tennessee St.,OVC,256,14,16,4,10,1,3,0,1,0,1,1,5,13,9
251,251,UTRGV,Southland,201,12,15,2,11,2,0,0,4,0,1,0,5,12,5
252,252,Iona,MAAC,277,17,17,7,7,3,3,0,1,0,0,2,4,15,12
253,253,Richmond,Atlantic 10,299,8,22,2,11,1,2,0,4,0,5,4,10,4,3
254,254,Sacred Heart,MAAC,290,14,18,5,11,2,2,0,1,0,0,1,7,13,10
255,255,Ga. Southern,Sun Belt,227,16,16,4,11,2,2,0,2,0,3,1,6,15,5
256,256,Harvard,Ivy League,212,11,15,5,10,0,0,0,2,1,2,2,5,8,6
257,257,Evansville,MVC,297,10,21,4,11,0,1,0,3,1,4,5,9,4,5
258,258,Monmouth,CAA,287,13,20,4,14,1,4,0,2,0,2,3,12,10,4
259,259,Siena,MAAC,289,14,18,4,10,1,3,0,1,1,0,1,6,12,11
260,260,FIU,CUSA,333,8,23,1,13,2,2,0,1,0,4,3,15,5,3
261,261,Mercer,SoCon,288,12,19,5,11,2,2,0,0,0,7,3,10,9,2
262,262,North Florida,ASUN,226,13,17,7,10,0,1,0,3,2,1,4,5,7,8
263,263,UAlbany,America East,258,15,16,8,8,1,1,0,0,0,2,2,5,13,9
264,264,Jackson St.,SWAC,208,16,18,6,15,2,2,0,5,0,5,0,4,16,4
265,265,Georgia St.,Sun Belt,264,13,19,3,11,2,2,0,3,0,3,1,7,12,6
266,266,Gardner-Webb,Big South,295,11,20,3,13,3,1,0,2,0,4,1,6,10,8
267,267,Charlotte,The American,320,10,22,1,12,2,2,0,2,0,4,1,12,9,4
268,268,Eastern Mich.,MAC,247,15,16,6,10,1,1,0,0,0,2,3,10,12,4
269,269,Idaho,Big Sky,284,12,19,5,11,1,2,0,1,0,4,3,7,9,7
270,270,Navy,Patriot,313,14,19,6,12,0,2,0,0,0,1,2,5,12,13
271,271,Tulsa,The American,294,11,20,3,8,2,3,0,2,1,4,4,7,6,7
272,272,Columbia,Ivy League,222,10,15,3,9,0,0,1,1,0,3,0,4,9,7
273,273,SFA,Southland,240,11,17,6,9,0,0,0,3,0,2,3,2,8,10
274,274,Alabama St.,SWAC,203,18,15,6,10,5,2,0,3,0,3,3,1,15,8
